,episode,value
0,0.0,0.20001451092056716
1,1.0,0.41309941565618136
2,2.0,0.7793491522193621
3,3.0,0.9487557227656388
4,4.0,1.0774484652006908
5,5.0,1.4820493760695095
6,6.0,2.1767959047049503
7,7.0,2.294848539414806
8,8.0,3.0823576182819243
9,9.0,3.0786361183772115
10,10.0,3.317665752115351
11,11.0,4.058944975496809
12,12.0,4.4417131771445675
13,13.0,4.5035516501866875
14,14.0,5.104139466233237
15,15.0,5.51809648698549
16,16.0,5.978421936564884
17,17.0,6.496331770933716
18,18.0,6.463913386042262
19,19.0,6.84057016019038
20,20.0,7.187722777139877
21,21.0,7.425088404723083
22,22.0,8.20454593501169
23,23.0,8.89368282694231
24,24.0,9.165369285861553
25,25.0,9.890367783892197
26,26.0,10.158189025327603
27,27.0,10.916006143174634
28,28.0,10.936745230350283
29,29.0,11.528193409875982
30,30.0,11.960410230845785
31,31.0,12.837877347640008
32,32.0,13.418948774906648
33,33.0,13.589041519867708
34,34.0,14.457399248283753
35,35.0,14.625488162983626
36,36.0,15.051200400194663
37,37.0,15.731782618933298
38,38.0,16.255119059531935
39,39.0,16.81761671005467
40,40.0,17.167183680316413
41,41.0,17.76829780757057
42,42.0,18.731072699258664
43,43.0,18.681921519953917
44,44.0,19.234918888156308
45,45.0,19.703221537834825
46,46.0,20.692284905342696
47,47.0,20.822465492046167
48,48.0,21.204856323154473
49,49.0,22.0535715690418
